Title,Artist,Key,Tempo,Genre,Album,Grouping,Date Added,Location,Comment,Year,Overall Volume,Energy,CuePoints,ClippedPeaks
"Schwing","Luke Vibert & Jean-Jacques Perrey","5A",89.0,"Electronica/IDM","Moog Acid","",1/13/2024,"C:\iTunes\Music\Luke Vibert & Jean-Jacques Perrey\Moog Acid\02 Schwing.mp3","5A - 4",2007,-11.8 dB,4,8,7
"Musique","Daft Punk","3A",117.2,"Electronic","Musique Vol. 1 1993-2005","",1/13/2024,"C:\iTunes\Music\Daft Punk\Musique Vol. 1 1993-2005\01 Musique.mp3","3A - 6",2006,-12.5 dB,6,8,11100
"034. Ramon Tapia, Riva Starr - Freedom (Original Mix)","034. Ramon Tapia, Riva Starr","9A",127.0,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\034. Ramon Tapia, Riva Starr - Freedom (Original Mix).mp3","9A - 6",,-12.2 dB,6,8,549
"Cloak And Dagger","Percival","7A",130.0,"Soundtrack","The Witcher 3: Wild Hunt","",1/13/2024,"C:\iTunes\Music\Compilations\The Witcher 3_ Wild Hunt\22 Cloak And Dagger.mp3","7A - 4",2015,-17.1 dB,4,6,0
"Drowning","nohidea","6A",81.0,"","Chillhop Raw Cuts 2","",1/13/2024,"C:\iTunes\Music\Chillhop Records\Chillhop Raw Cuts 2\01 Drowning.mp3","6A - 3 - Visit http://chillhop.bandcamp.com",2017,-16.8 dB,3,7,0
"Only Synth in Church","SAULT","1A",130.3,"Alternative/Indie","Untitled (Black Is)","",1/13/2024,"C:\Users\louis.media\Documents\Soulseek Downloads\SAULT-Untitled_Black_Is-WEB-2020-TosK\15-sault-only_synth_in_church.mp3","1A - 3-=-RiP & rLs bY TosK-=-",2020,-20.6 dB,3,5,0
"let me know (prod. onra)","onra and quetzal","2B",89.0,"Hip-Hop","tribute","",1/13/2024,"C:\iTunes\Music\onra and quetzal\tribute\11 let me know (prod. onra).mp3","2B - 3",2007,-12.3 dB,3,8,450
"Clearance Bin","Snares Man!","2A",95.2,"","Clearance Bin/Breakbeat Malaria","",1/13/2024,"C:\iTunes\Music\Snares Man!\Clearance Bin_Breakbeat Malaria\01 Clearance Bin.mp3","2A - 7",,-15.4 dB,7,8,0
"Sweet Dreams (Steve Angello Mix)","Eurythmics","5A",126.0,"Remix-Nation.com","Remix-Nation.com","Remix-Nation.com",1/13/2024,"C:\iTunes\Music\Remix-Nation.com\Remix-Nation.com\01 Sweet Dreams (Steve Angello Mix).mp3","5A - 7",2006,-11.2 dB,7,8,120
"Love Hangover (acapella)","Diana Ross","2A",149.8,"","","",1/13/2024,"C:\iTunes\Music\Diana Ross\Unknown Album\Love Hangover (acapella).mp3","2A - 4",,-20.0 dB,4,5,0
