Title,Artist,Key,Tempo,Genre,Album,Grouping,Date Added,Location,Comment,Year,Overall Volume,Energy,CuePoints,ClippedPeaks
"B2.I Think I Like It","","4A",128.0,"Other","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\B2.I Think I Like It.mp3","4A - 7",,-16.9711713823574,7,8,0
"DJ FASTA X SICO VOX - LO QUE PASO 2023","DJ FASTA X SICO VOX","2A",100.0,"","","",9/19/2023,"C:\Users\louis.media\Downloads\DJ FASTA X SICO VOX - LO QUE PASO 2023.wav","2A - 7 - Made with ACID Pro Suite",,-7.096907400802,7,8,16739
"Verónica (Extended Version)","Papá Kumbé","7A",98.0,"Electro Cumbia","Las Hijas de Papá Kumbé","",8/12/2023,"C:\Users\louis.media\Music\Verónica (Extended Version).mp3","7A - 7 - https://soundcloud.com/papakumbe",2016,-11.2962945539991,7,8,2060
"Lorkestra - I LIKE HIM RIDDIM (ft. Adrixxx)","Lorkestra","5A",130.0,"","","",12/2/2023,"C:\Users\louis.media\Downloads\Lorkestra - I LIKE HIM RIDDIM (ft. Adrixxx).wav","5A - 5",,-12.6039901244065,5,7,693
"Sico Vox x Da Nillo - DOJA","Sico Vox x Da Nillo","5A",122.5,"Dancehall","","",12/11/2023,"C:\Users\louis.media\Downloads\Sico Vox x Da Nillo - DOJA.mp3","5A - 5",2069,-9.80475900463502,5,8,12
"Omar Souleyman - Ya Bnaya [PEKODJINN EDIT]","PEKODJINN","7A",140.0,"","DJINN ROOM VOL.1","",3/18/2023,"C:\Users\louis.media\Downloads\PEKODJINN - DJINN ROOM VOL.1\PEKODJINN - DJINN ROOM VOL.1 - 11 Omar Souleyman - Ya Bnaya -PEKODJINN EDIT-.mp3","7A - 7 - Visit https://pekodjinn.bandcamp.com",2022,-8.97343650700061,7,7,532
"CHASE THE FUNK","Pekodjinn","9A",155.0,"","","",3/18/2023,"C:\Users\louis.media\Downloads\Pekodjinn - CHASE THE FUNK.mp3","9A - 6 - Visit https://pekodjinn.bandcamp.com",2023,-9.93167498299251,6,8,709
"Mam Dosc","Kryzys","5A",145.7,"Coldwave / Post-Punk / New Wave","A.A.V.V. - Cold Calling","",6/30/2023,"C:\Users\louis.media\Documents\Soulseek Downloads\complete\hetereoclitorix\a.a.v.v. - cold calling -2015.01- (by wolf 72)\07 Kryzys - Mam Dosc.mp3","5A - 5",1994,-14.7084070557926,5,8,0
"Baja Panty (Instrumental)","Radical One","2A",110.0,"","Baja Panty + Instrumental","",3/18/2023,"C:\iTunes\Music\Radical One\Baja Panty + Instrumental\02 Baja Panty (Instrumental).mp3","2A - 6 - Visit http://radicalone.bandcamp.com",2018,-8.57641188072829,6,3,222
"Rilla Force - rusm","Rilla Force","11A",146.3,"","","",3/18/2023,"C:\Users\louis.media\Downloads\Rilla Force - rusm.wav","11A - 7",,-8.74080287807455,7,8,28802
